NAICScode,AnnualPayroll,FirstQtrPayroll,State,GeographicIdentifierCode,Id2,ManufacturingSector,NumberOfRecords,NumberOfEstablishments,PaidEmployees,Year
315,62148,13984,Illinois,0400000US17,17,Apparel manufacturing,1,130,1767,2015
312,217773,53553,Illinois,0400000US17,17,Beverage and tobacco product manufacturing,1,190,4710,2015
325,4370139,1323942,Illinois,0400000US17,17,Chemical manufacturing,1,683,44920,2015
334,1767257,450709,Illinois,0400000US17,17,Computer and electronic product manufacturing,1,570,26447,2015
335,1109459,269889,Illinois,0400000US17,17,"Electrical equipment, appliance, and component manufacturing",1,307,18980,2015
332,4705482,1119210,Illinois,0400000US17,17,Fabricated metal product manufacturing,1,3065,88872,2015
311,3498240,834920,Illinois,0400000US17,17,Food manufacturing,1,1197,74457,2015
337,508082,114034,Illinois,0400000US17,17,Furniture and related product manufacturing,1,552,11080,2015
316,34636,7985,Illinois,0400000US17,17,Leather and allied product manufacturing,1,40,937,2015
333,3699309,934386,Illinois,0400000US17,17,Machinery manufacturing,1,1497,63821,2015
339,1165817,296523,Illinois,0400000US17,17,Miscellaneous manufacturing,1,1076,21284,2015
327,756281,169804,Illinois,0400000US17,17,Nonmetallic mineral product manufacturing,1,585,12418,2015
322,972981,225508,Illinois,0400000US17,17,Paper manufacturing,1,240,17168,2015
324,450504,114751,Illinois,0400000US17,17,Petroleum and coal products manufacturing,1,81,4396,2015
326,2076178,502411,Illinois,0400000US17,17,Plastics and rubber products manufacturing,1,650,40547,2015
331,1327145,368206,Illinois,0400000US17,17,Primary metal manufacturing,1,269,21229,2015
323,1419118,341112,Illinois,0400000US17,17,Printing and related support activities,1,1321,27791,2015
313,38581,9582,Illinois,0400000US17,17,Textile mills,1,52,859,2015
314,74744,17941,Illinois,0400000US17,17,Textile product mills,1,197,2635,2015
336,3040901,790688,Illinois,0400000US17,17,Transportation equipment manufacturing,1,392,49341,2015
321,268617,60156,Illinois,0400000US17,17,Wood product manufacturing,1,376,7340,2015
315,26815,6486,Indiana,0400000US18,18,Apparel manufacturing,1,40,780,2015
312,151516,31717,Indiana,0400000US18,18,Beverage and tobacco product manufacturing,1,123,3225,2015
325,1516155,383428,Indiana,0400000US18,18,Chemical manufacturing,1,308,19997,2015
334,736359,189999,Indiana,0400000US18,18,Computer and electronic product manufacturing,1,197,12088,2015
335,349009,83596,Indiana,0400000US18,18,"Electrical equipment, appliance, and component manufacturing",1,123,6695,2015
332,2803239,668621,Indiana,0400000US18,18,Fabricated metal product manufacturing,1,1750,61388,2015
311,1633227,394705,Indiana,0400000US18,18,Food manufacturing,1,473,36732,2015
337,816518,186524,Indiana,0400000US18,18,Furniture and related product manufacturing,1,447,21080,2015
316,5988,1507,Indiana,0400000US18,18,Leather and allied product manufacturing,1,14,214,2015
333,1966199,497433,Indiana,0400000US18,18,Machinery manufacturing,1,781,35656,2015
339,1501412,345743,Indiana,0400000US18,18,Miscellaneous manufacturing,1,576,25229,2015
327,701372,162485,Indiana,0400000US18,18,Nonmetallic mineral product manufacturing,1,435,13865,2015
322,528477,128599,Indiana,0400000US18,18,Paper manufacturing,1,124,9281,2015
324,359166,110456,Indiana,0400000US18,18,Petroleum and coal products manufacturing,1,61,3667,2015
326,1747136,424296,Indiana,0400000US18,18,Plastics and rubber products manufacturing,1,500,40751,2015
331,3055304,847348,Indiana,0400000US18,18,Primary metal manufacturing,1,226,44097,2015
323,597832,140942,Indiana,0400000US18,18,Printing and related support activities,1,553,14345,2015
313,16621,3951,Indiana,0400000US18,18,Textile mills,1,21,408,2015
314,68008,15962,Indiana,0400000US18,18,Textile product mills,1,136,2281,2015
336,7031817,1828392,Indiana,0400000US18,18,Transportation equipment manufacturing,1,609,122766,2015
321,567047,129430,Indiana,0400000US18,18,Wood product manufacturing,1,494,14592,2015
315,9979,2176,Michigan,0400000US26,26,Apparel manufacturing,1,70,334,2015
