V_TRI_SUBMISSION_NAICS.INDUSTRY_CODE,V_TRI_SUBMISSION_NAICS.INDUSTRY_DESCRIPTION,V_TRI_SUBMISSION_NAICS.NAICS_CODES,TRI_FACILITY.TRI_FACILITY_ID,TRI_FACILITY.STATE_ABBR,V_TRI_FORM_R_BR_EZ.TRI_FACILITY_ID,V_TRI_FORM_R_BR_EZ.REPORTING_YEAR,V_TRI_FORM_R_BR_EZ.STATE_ABBR,V_TRI_FORM_R_BR_EZ.AIR_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.INDUSTRY_CODE,V_TRI_FORM_R_BR_EZ.LAND_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_OFF_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.TOTAL_ON_SITE_RELEASE,V_TRI_FORM_R_BR_EZ.UNINJ_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.WATER_TOTAL_RELEASE,V_TRI_FORM_R_BR_EZ.PRIMARY_NAICS_CODE
331,Primary Metals,331529,53188CCRTSN12W2,WI,53188CCRTSN12W2,2015,WI,0,331,0,0,0,0,0,,331529
325,Chemicals,325199,45232HNKLC4900E,OH,45232HNKLC4900E,2015,OH,1.4,325,0,5444,5445.4,1.4,0,0,325199
325,Chemicals,325211,48192BSFCR1609B,MI,48192BSFCR1609B,2015,MI,1430,325,0,0,1435,1435,0,5,325211
334,Computers and Electronic Products,334412,44223PRTCR7ASCO,OH,44223PRTCR7ASCO,2015,OH,0,334,0,3.58,3.58,0,0,0,334412
311,Food,311221,61285STLYMROUTE,IL,61285STLYMROUTE,2015,IL,0,311,0,0,0,0,0,,311221
311,Food,311511,48150MCHGN29601,MI,48150MCHGN29601,2015,MI,10,311,0,0,10,10,0,0,311511
331,Primary Metals,331524,48605SGNWG1629N,MI,48605SGNWG1629N,2015,MI,2,331,85,2,89,87,0,0,331524
332,Fabricated Metals,332999,43123TSHSM3515G,OH,43123TSHSM3515G,2015,OH,0,332,0,1.2,1.2,0,0,0,332999
311,Food,311513311514,53042LKTLK9278T,WI,53042LKTLK9278T,2015,WI,0,311,0,4260,4260,0,0,0,311513
323,Printing,323111,44102MRCNG11555,OH,44102MRCNG11555,2015,OH,1156,323,0,0,1156,1156,0,0,323111
322,Paper,322121,54507RHNLN515WE,WI,54507RHNLN515WE,2015,WI,1134,322,0,1728,3019,1291,0,157,322121
336,Transportation Equipment,336612,46515GDFRY22787,IN,46515GDFRY22787,2015,IN,88302,336,0,0,88302,88302,0,0,336612
339,Miscellaneous Manufacturing,339112,46710LTRXX2PRGR,IN,46710LTRXX2PRGR,2015,IN,0,339,0,0,0,0,0,0,339112
332,Fabricated Metals,332813,54110PRFSSHWY10,WI,54110PRFSSHWY10,2015,WI,0,332,0,19474,19474,0,0,0,332813
332,Fabricated Metals,332431,43420MRCNN2145C,OH,43420MRCNN2145C,2015,OH,264603,332,0,0,264603,264603,0,0,332431
336,Transportation Equipment,336390,53963CMTCH401IN,WI,53963CMTCH401IN,2015,WI,442.461,336,0,15305.03,15747.491,442.461,0,0,336390
331,Primary Metals,331511,56001THDTS200WR,MN,56001THDTS200WR,2015,MN,0,331,0,0,0,0,0,,331511
