NAICScode,ManufacturingSector,NumOfEstablish
316,Leather and allied product manufacturing,166
313,Textile mills,205
324,Petroleum and coal products manufacturing,382
315,Apparel manufacturing,456
314,Textile product mills,936
312,Beverage and tobacco product manufacturing,1002
322,Paper manufacturing,1142
335,"Electrical equipment, appliance, and component manufacturing",1249
331,Primary metal manufacturing,1396
334,Computer and electronic product manufacturing,2137
325,Chemical manufacturing,2644
321,Wood product manufacturing,2760
327,Nonmetallic mineral product manufacturing,2812
337,Furniture and related product manufacturing,2875
336,Transportation equipment manufacturing,3060
326,Plastics and rubber products manufacturing,3447
339,Miscellaneous manufacturing,4895
311,Food manufacturing,4989
323,Printing and related support activities,5176
333,Machinery manufacturing,7779
332,Fabricated metal product manufacturing,14661
