NAICScode	ManufacturingSector	State	NumOfEstablish
316	Leather and allied product manufacturing	Illinois	40
313	Textile mills	Illinois	52
324	Petroleum and coal products manufacturing	Illinois	81
315	Apparel manufacturing	Illinois	130
312	Beverage and tobacco product manufacturing	Illinois	190
314	Textile product mills	Illinois	197
322	Paper manufacturing	Illinois	240
331	Primary metal manufacturing	Illinois	269
335	"Electrical equipment, appliance, and component manufacturing"	Illinois	307
321	Wood product manufacturing	Illinois	376
336	Transportation equipment manufacturing	Illinois	392
337	Furniture and related product manufacturing	Illinois	552
334	Computer and electronic product manufacturing	Illinois	570
327	Nonmetallic mineral product manufacturing	Illinois	585
326	Plastics and rubber products manufacturing	Illinois	650
325	Chemical manufacturing	Illinois	683
339	Miscellaneous manufacturing	Illinois	1076
311	Food manufacturing	Illinois	1197
323	Printing and related support activities	Illinois	1321
333	Machinery manufacturing	Illinois	1497
332	Fabricated metal product manufacturing	Illinois	3065
