NAICScode	ManufacturingSector	State	NumOfEstablish
316	Leather and allied product manufacturing	Indiana	14
313	Textile mills	Indiana	21
315	Apparel manufacturing	Indiana	40
324	Petroleum and coal products manufacturing	Indiana	61
312	Beverage and tobacco product manufacturing	Indiana	123
335	"Electrical equipment, appliance, and component manufacturing"	Indiana	123
322	Paper manufacturing	Indiana	124
314	Textile product mills	Indiana	136
334	Computer and electronic product manufacturing	Indiana	197
331	Primary metal manufacturing	Indiana	226
325	Chemical manufacturing	Indiana	308
327	Nonmetallic mineral product manufacturing	Indiana	435
337	Furniture and related product manufacturing	Indiana	447
311	Food manufacturing	Indiana	473
321	Wood product manufacturing	Indiana	494
326	Plastics and rubber products manufacturing	Indiana	500
323	Printing and related support activities	Indiana	553
339	Miscellaneous manufacturing	Indiana	576
336	Transportation equipment manufacturing	Indiana	609
333	Machinery manufacturing	Indiana	781
332	Fabricated metal product manufacturing	Indiana	1750
