NAICScode	ManufacturingSector	State	NumOfEstablish
316	Leather and allied product manufacturing	Michigan	14
313	Textile mills	Michigan	34
324	Petroleum and coal products manufacturing	Michigan	50
315	Apparel manufacturing	Michigan	70
322	Paper manufacturing	Michigan	152
314	Textile product mills	Michigan	180
335	"Electrical equipment, appliance, and component manufacturing"	Michigan	231
312	Beverage and tobacco product manufacturing	Michigan	232
331	Primary metal manufacturing	Michigan	255
334	Computer and electronic product manufacturing	Michigan	358
325	Chemical manufacturing	Michigan	374
337	Furniture and related product manufacturing	Michigan	420
327	Nonmetallic mineral product manufacturing	Michigan	448
321	Wood product manufacturing	Michigan	454
326	Plastics and rubber products manufacturing	Michigan	631
311	Food manufacturing	Michigan	796
323	Printing and related support activities	Michigan	816
336	Transportation equipment manufacturing	Michigan	941
339	Miscellaneous manufacturing	Michigan	965
333	Machinery manufacturing	Michigan	2068
332	Fabricated metal product manufacturing	Michigan	2948
