NAICScode	ManufacturingSector	State	NumOfEstablish
313	Textile mills	Minnesota	20
324	Petroleum and coal products manufacturing	Minnesota	21
316	Leather and allied product manufacturing	Minnesota	22
315	Apparel manufacturing	Minnesota	78
331	Primary metal manufacturing	Minnesota	90
322	Paper manufacturing	Minnesota	107
312	Beverage and tobacco product manufacturing	Minnesota	116
335	"Electrical equipment, appliance, and component manufacturing"	Minnesota	126
314	Textile product mills	Minnesota	133
336	Transportation equipment manufacturing	Minnesota	193
325	Chemical manufacturing	Minnesota	266
327	Nonmetallic mineral product manufacturing	Minnesota	325
321	Wood product manufacturing	Minnesota	326
334	Computer and electronic product manufacturing	Minnesota	333
326	Plastics and rubber products manufacturing	Minnesota	333
337	Furniture and related product manufacturing	Minnesota	448
311	Food manufacturing	Minnesota	675
323	Printing and related support activities	Minnesota	693
339	Miscellaneous manufacturing	Minnesota	743
333	Machinery manufacturing	Minnesota	778
332	Fabricated metal product manufacturing	Minnesota	1485
