NAICScode	ManufacturingSector	State	NumOfEstablish
316	Leather and allied product manufacturing	Ohio	39
313	Textile mills	Ohio	47
315	Apparel manufacturing	Ohio	76
324	Petroleum and coal products manufacturing	Ohio	152
312	Beverage and tobacco product manufacturing	Ohio	181
314	Textile product mills	Ohio	192
335	"Electrical equipment, appliance, and component manufacturing"	Ohio	278
322	Paper manufacturing	Ohio	297
331	Primary metal manufacturing	Ohio	382
334	Computer and electronic product manufacturing	Ohio	428
321	Wood product manufacturing	Ohio	550
337	Furniture and related product manufacturing	Ohio	611
327	Nonmetallic mineral product manufacturing	Ohio	640
336	Transportation equipment manufacturing	Ohio	669
325	Chemical manufacturing	Ohio	673
311	Food manufacturing	Ohio	886
326	Plastics and rubber products manufacturing	Ohio	895
339	Miscellaneous manufacturing	Ohio	942
323	Printing and related support activities	Ohio	1093
333	Machinery manufacturing	Ohio	1601
332	Fabricated metal product manufacturing	Ohio	3507
