NAICScode	ManufacturingSector	State	SumOfNumberOfEstablishments
316	Leather and allied product manufacturing	Illinois	40
313	Textile mills	Illinois	52
324	Petroleum and coal products manufacturing	Illinois	81
315	Apparel manufacturing	Illinois	130
312	Beverage and tobacco product manufacturing	Illinois	190
314	Textile product mills	Illinois	197
322	Paper manufacturing	Illinois	240
331	Primary metal manufacturing	Illinois	269
335	"Electrical equipment, appliance, and component manufacturing"	Illinois	307
321	Wood product manufacturing	Illinois	376
336	Transportation equipment manufacturing	Illinois	392
337	Furniture and related product manufacturing	Illinois	552
334	Computer and electronic product manufacturing	Illinois	570
327	Nonmetallic mineral product manufacturing	Illinois	585
326	Plastics and rubber products manufacturing	Illinois	650
325	Chemical manufacturing	Illinois	683
339	Miscellaneous manufacturing	Illinois	1076
311	Food manufacturing	Illinois	1197
323	Printing and related support activities	Illinois	1321
333	Machinery manufacturing	Illinois	1497
332	Fabricated metal product manufacturing	Illinois	3065
316	Leather and allied product manufacturing	Indiana	14
313	Textile mills	Indiana	21
315	Apparel manufacturing	Indiana	40
324	Petroleum and coal products manufacturing	Indiana	61
312	Beverage and tobacco product manufacturing	Indiana	123
335	"Electrical equipment, appliance, and component manufacturing"	Indiana	123
322	Paper manufacturing	Indiana	124
314	Textile product mills	Indiana	136
334	Computer and electronic product manufacturing	Indiana	197
331	Primary metal manufacturing	Indiana	226
325	Chemical manufacturing	Indiana	308
327	Nonmetallic mineral product manufacturing	Indiana	435
337	Furniture and related product manufacturing	Indiana	447
311	Food manufacturing	Indiana	473
321	Wood product manufacturing	Indiana	494
326	Plastics and rubber products manufacturing	Indiana	500
323	Printing and related support activities	Indiana	553
339	Miscellaneous manufacturing	Indiana	576
336	Transportation equipment manufacturing	Indiana	609
333	Machinery manufacturing	Indiana	781
332	Fabricated metal product manufacturing	Indiana	1750
316	Leather and allied product manufacturing	Michigan	14
313	Textile mills	Michigan	34
324	Petroleum and coal products manufacturing	Michigan	50
315	Apparel manufacturing	Michigan	70
322	Paper manufacturing	Michigan	152
314	Textile product mills	Michigan	180
335	"Electrical equipment, appliance, and component manufacturing"	Michigan	231
312	Beverage and tobacco product manufacturing	Michigan	232
331	Primary metal manufacturing	Michigan	255
334	Computer and electronic product manufacturing	Michigan	358
325	Chemical manufacturing	Michigan	374
337	Furniture and related product manufacturing	Michigan	420
327	Nonmetallic mineral product manufacturing	Michigan	448
321	Wood product manufacturing	Michigan	454
326	Plastics and rubber products manufacturing	Michigan	631
311	Food manufacturing	Michigan	796
323	Printing and related support activities	Michigan	816
336	Transportation equipment manufacturing	Michigan	941
339	Miscellaneous manufacturing	Michigan	965
333	Machinery manufacturing	Michigan	2068
332	Fabricated metal product manufacturing	Michigan	2948
313	Textile mills	Minnesota	20
324	Petroleum and coal products manufacturing	Minnesota	21
316	Leather and allied product manufacturing	Minnesota	22
315	Apparel manufacturing	Minnesota	78
331	Primary metal manufacturing	Minnesota	90
322	Paper manufacturing	Minnesota	107
312	Beverage and tobacco product manufacturing	Minnesota	116
335	"Electrical equipment, appliance, and component manufacturing"	Minnesota	126
314	Textile product mills	Minnesota	133
336	Transportation equipment manufacturing	Minnesota	193
325	Chemical manufacturing	Minnesota	266
327	Nonmetallic mineral product manufacturing	Minnesota	325
321	Wood product manufacturing	Minnesota	326
334	Computer and electronic product manufacturing	Minnesota	333
326	Plastics and rubber products manufacturing	Minnesota	333
337	Furniture and related product manufacturing	Minnesota	448
311	Food manufacturing	Minnesota	675
323	Printing and related support activities	Minnesota	693
339	Miscellaneous manufacturing	Minnesota	743
333	Machinery manufacturing	Minnesota	778
332	Fabricated metal product manufacturing	Minnesota	1485
316	Leather and allied product manufacturing	Ohio	39
313	Textile mills	Ohio	47
315	Apparel manufacturing	Ohio	76
324	Petroleum and coal products manufacturing	Ohio	152
312	Beverage and tobacco product manufacturing	Ohio	181
314	Textile product mills	Ohio	192
335	"Electrical equipment, appliance, and component manufacturing"	Ohio	278
322	Paper manufacturing	Ohio	297
331	Primary metal manufacturing	Ohio	382
334	Computer and electronic product manufacturing	Ohio	428
321	Wood product manufacturing	Ohio	550
337	Furniture and related product manufacturing	Ohio	611
327	Nonmetallic mineral product manufacturing	Ohio	640
336	Transportation equipment manufacturing	Ohio	669
325	Chemical manufacturing	Ohio	673
311	Food manufacturing	Ohio	886
326	Plastics and rubber products manufacturing	Ohio	895
339	Miscellaneous manufacturing	Ohio	942
323	Printing and related support activities	Ohio	1093
333	Machinery manufacturing	Ohio	1601
332	Fabricated metal product manufacturing	Ohio	3507
324	Petroleum and coal products manufacturing	Wisconsin	17
313	Textile mills	Wisconsin	31
316	Leather and allied product manufacturing	Wisconsin	37
315	Apparel manufacturing	Wisconsin	62
314	Textile product mills	Wisconsin	98
312	Beverage and tobacco product manufacturing	Wisconsin	160
331	Primary metal manufacturing	Wisconsin	174
335	"Electrical equipment, appliance, and component manufacturing"	Wisconsin	184
322	Paper manufacturing	Wisconsin	222
334	Computer and electronic product manufacturing	Wisconsin	251
336	Transportation equipment manufacturing	Wisconsin	256
325	Chemical manufacturing	Wisconsin	340
327	Nonmetallic mineral product manufacturing	Wisconsin	379
337	Furniture and related product manufacturing	Wisconsin	397
326	Plastics and rubber products manufacturing	Wisconsin	438
321	Wood product manufacturing	Wisconsin	560
339	Miscellaneous manufacturing	Wisconsin	593
323	Printing and related support activities	Wisconsin	700
311	Food manufacturing	Wisconsin	962
333	Machinery manufacturing	Wisconsin	1054
332	Fabricated metal product manufacturing	Wisconsin	1906
