NAICScode	ManufacturingSector	State	NumOfEstablish
324	Petroleum and coal products manufacturing	Wisconsin	17
313	Textile mills	Wisconsin	31
316	Leather and allied product manufacturing	Wisconsin	37
315	Apparel manufacturing	Wisconsin	62
314	Textile product mills	Wisconsin	98
312	Beverage and tobacco product manufacturing	Wisconsin	160
331	Primary metal manufacturing	Wisconsin	174
335	"Electrical equipment, appliance, and component manufacturing"	Wisconsin	184
322	Paper manufacturing	Wisconsin	222
334	Computer and electronic product manufacturing	Wisconsin	251
336	Transportation equipment manufacturing	Wisconsin	256
325	Chemical manufacturing	Wisconsin	340
327	Nonmetallic mineral product manufacturing	Wisconsin	379
337	Furniture and related product manufacturing	Wisconsin	397
326	Plastics and rubber products manufacturing	Wisconsin	438
321	Wood product manufacturing	Wisconsin	560
339	Miscellaneous manufacturing	Wisconsin	593
323	Printing and related support activities	Wisconsin	700
311	Food manufacturing	Wisconsin	962
333	Machinery manufacturing	Wisconsin	1054
332	Fabricated metal product manufacturing	Wisconsin	1906
