NAICScode	ManufacturingSector	PaidEmployees
313	Textile mills	4851
315	Apparel manufacturing	4996
316	Leather and allied product manufacturing	5646
314	Textile product mills	12221
324	Petroleum and coal products manufacturing	18140
312	Beverage and tobacco product manufacturing	24097
321	Wood product manufacturing	73152
327	Nonmetallic mineral product manufacturing	80935
337	Furniture and related product manufacturing	89656
335	"Electrical equipment, appliance, and component manufacturing"	91080
322	Paper manufacturing	96301
339	Miscellaneous manufacturing	118295
323	Printing and related support activities	129160
334	Computer and electronic product manufacturing	130654
331	Primary metal manufacturing	153955
325	Chemical manufacturing	159360
326	Plastics and rubber products manufacturing	242224
311	Food manufacturing	318020
333	Machinery manufacturing	341881
332	Fabricated metal product manufacturing	443144
336	Transportation equipment manufacturing	478466
