NAICScode	ManufacturingSector	State	PaidEmployees
313	Textile mills	Illinois	859
316	Leather and allied product manufacturing	Illinois	937
315	Apparel manufacturing	Illinois	1767
314	Textile product mills	Illinois	2635
324	Petroleum and coal products manufacturing	Illinois	4396
312	Beverage and tobacco product manufacturing	Illinois	4710
321	Wood product manufacturing	Illinois	7340
337	Furniture and related product manufacturing	Illinois	11080
327	Nonmetallic mineral product manufacturing	Illinois	12418
322	Paper manufacturing	Illinois	17168
335	"Electrical equipment, appliance, and component manufacturing"	Illinois	18980
331	Primary metal manufacturing	Illinois	21229
339	Miscellaneous manufacturing	Illinois	21284
334	Computer and electronic product manufacturing	Illinois	26447
323	Printing and related support activities	Illinois	27791
326	Plastics and rubber products manufacturing	Illinois	40547
325	Chemical manufacturing	Illinois	44920
336	Transportation equipment manufacturing	Illinois	49341
333	Machinery manufacturing	Illinois	63821
311	Food manufacturing	Illinois	74457
332	Fabricated metal product manufacturing	Illinois	88872
