NAICScode	ManufacturingSector	State	PaidEmployees
316	Leather and allied product manufacturing	Indiana	214
313	Textile mills	Indiana	408
315	Apparel manufacturing	Indiana	780
314	Textile product mills	Indiana	2281
312	Beverage and tobacco product manufacturing	Indiana	3225
324	Petroleum and coal products manufacturing	Indiana	3667
335	"Electrical equipment, appliance, and component manufacturing"	Indiana	6695
322	Paper manufacturing	Indiana	9281
334	Computer and electronic product manufacturing	Indiana	12088
327	Nonmetallic mineral product manufacturing	Indiana	13865
323	Printing and related support activities	Indiana	14345
321	Wood product manufacturing	Indiana	14592
325	Chemical manufacturing	Indiana	19997
337	Furniture and related product manufacturing	Indiana	21080
339	Miscellaneous manufacturing	Indiana	25229
333	Machinery manufacturing	Indiana	35656
311	Food manufacturing	Indiana	36732
326	Plastics and rubber products manufacturing	Indiana	40751
331	Primary metal manufacturing	Indiana	44097
332	Fabricated metal product manufacturing	Indiana	61388
336	Transportation equipment manufacturing	Indiana	122766
