NAICScode	ManufacturingSector	State	PaidEmployees
315	Apparel manufacturing	Michigan	334
316	Leather and allied product manufacturing	Michigan	470
313	Textile mills	Michigan	918
314	Textile product mills	Michigan	1801
324	Petroleum and coal products manufacturing	Michigan	1839
312	Beverage and tobacco product manufacturing	Michigan	5242
335	"Electrical equipment, appliance, and component manufacturing"	Michigan	9290
321	Wood product manufacturing	Michigan	10539
322	Paper manufacturing	Michigan	11531
327	Nonmetallic mineral product manufacturing	Michigan	13889
323	Printing and related support activities	Michigan	14117
334	Computer and electronic product manufacturing	Michigan	14382
339	Miscellaneous manufacturing	Michigan	15330
337	Furniture and related product manufacturing	Michigan	19464
331	Primary metal manufacturing	Michigan	21867
325	Chemical manufacturing	Michigan	30389
311	Food manufacturing	Michigan	32049
326	Plastics and rubber products manufacturing	Michigan	51083
333	Machinery manufacturing	Michigan	71969
332	Fabricated metal product manufacturing	Michigan	80688
336	Transportation equipment manufacturing	Michigan	159602
