NAICScode	ManufacturingSector	State	PaidEmployees
313	Textile mills	Minnesota	423
315	Apparel manufacturing	Minnesota	720
316	Leather and allied product manufacturing	Minnesota	1338
314	Textile product mills	Minnesota	1506
324	Petroleum and coal products manufacturing	Minnesota	2298
312	Beverage and tobacco product manufacturing	Minnesota	2575
331	Primary metal manufacturing	Minnesota	6356
337	Furniture and related product manufacturing	Minnesota	8373
325	Chemical manufacturing	Minnesota	9417
327	Nonmetallic mineral product manufacturing	Minnesota	10006
322	Paper manufacturing	Minnesota	10251
335	"Electrical equipment, appliance, and component manufacturing"	Minnesota	10776
321	Wood product manufacturing	Minnesota	12006
336	Transportation equipment manufacturing	Minnesota	12979
326	Plastics and rubber products manufacturing	Minnesota	14258
339	Miscellaneous manufacturing	Minnesota	21141
323	Printing and related support activities	Minnesota	23548
333	Machinery manufacturing	Minnesota	34072
334	Computer and electronic product manufacturing	Minnesota	35549
332	Fabricated metal product manufacturing	Minnesota	39526
311	Food manufacturing	Minnesota	47379
