NAICScode	ManufacturingSector	State	PaidEmployees
315	Apparel manufacturing	Ohio	644
313	Textile mills	Ohio	1047
316	Leather and allied product manufacturing	Ohio	1275
314	Textile product mills	Ohio	2877
312	Beverage and tobacco product manufacturing	Ohio	4897
324	Petroleum and coal products manufacturing	Ohio	5403
321	Wood product manufacturing	Ohio	10699
337	Furniture and related product manufacturing	Ohio	13999
322	Paper manufacturing	Ohio	18718
327	Nonmetallic mineral product manufacturing	Ohio	21757
334	Computer and electronic product manufacturing	Ohio	22353
323	Printing and related support activities	Ohio	22381
339	Miscellaneous manufacturing	Ohio	22845
335	"Electrical equipment, appliance, and component manufacturing"	Ohio	23404
325	Chemical manufacturing	Ohio	38280
331	Primary metal manufacturing	Ohio	41154
311	Food manufacturing	Ohio	60496
326	Plastics and rubber products manufacturing	Ohio	65881
333	Machinery manufacturing	Ohio	74193
332	Fabricated metal product manufacturing	Ohio	103590
336	Transportation equipment manufacturing	Ohio	107991
