NAICScode	ManufacturingSector	State	PaidEmployees
324	Petroleum and coal products manufacturing	Wisconsin	537
315	Apparel manufacturing	Wisconsin	751
314	Textile product mills	Wisconsin	1121
313	Textile mills	Wisconsin	1196
316	Leather and allied product manufacturing	Wisconsin	1412
312	Beverage and tobacco product manufacturing	Wisconsin	3448
327	Nonmetallic mineral product manufacturing	Wisconsin	9000
339	Miscellaneous manufacturing	Wisconsin	12466
337	Furniture and related product manufacturing	Wisconsin	15660
325	Chemical manufacturing	Wisconsin	16357
321	Wood product manufacturing	Wisconsin	17976
331	Primary metal manufacturing	Wisconsin	19252
334	Computer and electronic product manufacturing	Wisconsin	19835
335	"Electrical equipment, appliance, and component manufacturing"	Wisconsin	21935
336	Transportation equipment manufacturing	Wisconsin	25787
323	Printing and related support activities	Wisconsin	26978
322	Paper manufacturing	Wisconsin	29352
326	Plastics and rubber products manufacturing	Wisconsin	29704
333	Machinery manufacturing	Wisconsin	62170
311	Food manufacturing	Wisconsin	66907
332	Fabricated metal product manufacturing	Wisconsin	69080
