NAICScode	ManufacturingSector	State	AnnualPayroll
316	Leather and allied product manufacturing	Illinois	34636
313	Textile mills	Illinois	38581
315	Apparel manufacturing	Illinois	62148
314	Textile product mills	Illinois	74744
312	Beverage and tobacco product manufacturing	Illinois	217773
321	Wood product manufacturing	Illinois	268617
324	Petroleum and coal products manufacturing	Illinois	450504
337	Furniture and related product manufacturing	Illinois	508082
327	Nonmetallic mineral product manufacturing	Illinois	756281
322	Paper manufacturing	Illinois	972981
335	"Electrical equipment, appliance, and component manufacturing"	Illinois	1109459
339	Miscellaneous manufacturing	Illinois	1165817
331	Primary metal manufacturing	Illinois	1327145
323	Printing and related support activities	Illinois	1419118
334	Computer and electronic product manufacturing	Illinois	1767257
326	Plastics and rubber products manufacturing	Illinois	2076178
336	Transportation equipment manufacturing	Illinois	3040901
311	Food manufacturing	Illinois	3498240
333	Machinery manufacturing	Illinois	3699309
325	Chemical manufacturing	Illinois	4370139
332	Fabricated metal product manufacturing	Illinois	4705482
