NAICScode	ManufacturingSector	State	AnnualPayroll
315	Apparel manufacturing	Michigan	9979
316	Leather and allied product manufacturing	Michigan	14138
313	Textile mills	Michigan	38290
314	Textile product mills	Michigan	60616
324	Petroleum and coal products manufacturing	Michigan	148536
312	Beverage and tobacco product manufacturing	Michigan	229708
321	Wood product manufacturing	Michigan	431735
335	"Electrical equipment, appliance, and component manufacturing"	Michigan	513532
323	Printing and related support activities	Michigan	637553
322	Paper manufacturing	Michigan	643059
327	Nonmetallic mineral product manufacturing	Michigan	735433
339	Miscellaneous manufacturing	Michigan	819921
334	Computer and electronic product manufacturing	Michigan	931699
337	Furniture and related product manufacturing	Michigan	1073778
331	Primary metal manufacturing	Michigan	1261719
311	Food manufacturing	Michigan	1410784
325	Chemical manufacturing	Michigan	2158048
326	Plastics and rubber products manufacturing	Michigan	2176148
332	Fabricated metal product manufacturing	Michigan	4079773
333	Machinery manufacturing	Michigan	4701229
336	Transportation equipment manufacturing	Michigan	10202744
