NAICScode	ManufacturingSector	State	AnnualPayroll
313	Textile mills	Minnesota	17009
315	Apparel manufacturing	Minnesota	21956
314	Textile product mills	Minnesota	47591
316	Leather and allied product manufacturing	Minnesota	75902
312	Beverage and tobacco product manufacturing	Minnesota	111334
324	Petroleum and coal products manufacturing	Minnesota	259296
337	Furniture and related product manufacturing	Minnesota	337961
331	Primary metal manufacturing	Minnesota	339771
327	Nonmetallic mineral product manufacturing	Minnesota	566588
336	Transportation equipment manufacturing	Minnesota	582541
321	Wood product manufacturing	Minnesota	584571
325	Chemical manufacturing	Minnesota	641735
322	Paper manufacturing	Minnesota	649525
335	"Electrical equipment, appliance, and component manufacturing"	Minnesota	670263
326	Plastics and rubber products manufacturing	Minnesota	720480
323	Printing and related support activities	Minnesota	1207539
339	Miscellaneous manufacturing	Minnesota	1409111
311	Food manufacturing	Minnesota	2094895
333	Machinery manufacturing	Minnesota	2133976
332	Fabricated metal product manufacturing	Minnesota	2136378
334	Computer and electronic product manufacturing	Minnesota	2764329
