NAICScode	ManufacturingSector	State	AnnualPayroll
315	Apparel manufacturing	Ohio	23084
316	Leather and allied product manufacturing	Ohio	35634
313	Textile mills	Ohio	46118
314	Textile product mills	Ohio	106676
312	Beverage and tobacco product manufacturing	Ohio	254374
321	Wood product manufacturing	Ohio	380471
324	Petroleum and coal products manufacturing	Ohio	489590
337	Furniture and related product manufacturing	Ohio	583309
323	Printing and related support activities	Ohio	1020782
322	Paper manufacturing	Ohio	1035975
339	Miscellaneous manufacturing	Ohio	1101979
327	Nonmetallic mineral product manufacturing	Ohio	1114654
335	"Electrical equipment, appliance, and component manufacturing"	Ohio	1247262
334	Computer and electronic product manufacturing	Ohio	1570908
311	Food manufacturing	Ohio	2531624
331	Primary metal manufacturing	Ohio	2533008
325	Chemical manufacturing	Ohio	2721070
326	Plastics and rubber products manufacturing	Ohio	2975387
333	Machinery manufacturing	Ohio	4415208
332	Fabricated metal product manufacturing	Ohio	5352374
336	Transportation equipment manufacturing	Ohio	6784941
